 "s" , "p" , "o" ,  ,  ,  ,
 "EX:tillYear" , "rdfs:subPropertyOf" , "EX:tillYear" ,  ,  ,  ,
 "EX:unitsSold" , "rdfs:subPropertyOf" , "EX:unitsSold" ,  ,  ,  ,
 "EX:whereSold" , "rdfs:subPropertyOf" , "EX:whereSold" ,  ,  ,  ,
 "rdf:_2" , "rdfs:subPropertyOf" , "rdf:_2" ,  ,  ,  ,
 "rdf:_3" , "rdfs:subPropertyOf" , "rdf:_3" ,  ,  ,  ,
 "rdf:_4" , "rdfs:subPropertyOf" , "rdf:_4" ,  ,  ,  ,
 "EX:reason" , "rdfs:subPropertyOf" , "EX:reason" ,  ,  ,  ,
 "EX:impactOn" , "rdfs:subPropertyOf" , "EX:impactOn" ,  ,  ,  ,
 "EX:intensity" , "rdfs:subPropertyOf" , "EX:intensity" ,  ,  ,  ,
 "rdf:Alt" , "rdfs:subClassOf" , "rdfs:Container" ,  ,  ,  ,
 "rdf:Bag" , "rdfs:subClassOf" , "rdfs:Container" ,  ,  ,  ,
 "rdf:Seq" , "rdfs:subClassOf" , "rdfs:Container" ,  ,  ,  ,
 "rdfs:ContainerMembershipProperty" , "rdfs:subClassOf" , "rdf:Property" ,  ,  ,  ,
 "rdf:XMLLiteral" , "rdfs:subClassOf" , "rdfs:Literal" ,  ,  ,  ,
 "rdf:XMLLiteral" , "rdfs:subClassOf" , "rdf:XMLLiteral" ,  ,  ,  ,
 "rdfs:Datatype" , "rdfs:subClassOf" , "rdfs:Class" ,  ,  ,  ,
 "xsd:nonNegativeInteger" , "rdfs:subClassOf" , "xsd:nonNegativeInteger" ,  ,  ,  ,
 "xsd:string" , "rdfs:subClassOf" , "xsd:string" ,  ,  ,  ,
 "EX:Vehicle" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:Vehicle_Brands" , "rdfs:subClassOf" , "EX:Vehicle_Brands" ,  ,  ,  ,
 "EX:2_Wheeler" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:3_Wheeler" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:Ford" , "rdfs:subClassOf" , "EX:Vehicle_Brands" ,  ,  ,  ,
 "EX:Cars" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:Cars" , "rdfs:subClassOf" , "EX:4_Wheeler" ,  ,  ,  ,
 "EX:Hyundai" , "rdfs:subClassOf" , "EX:Vehicle_Brands" ,  ,  ,  ,
 "EX:SUV" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:SUV" , "rdfs:subClassOf" , "EX:4_Wheeler" ,  ,  ,  ,
 "EX:Toyota" , "rdfs:subClassOf" , "EX:Vehicle_Brands" ,  ,  ,  ,
 "EX:Electric_Vehicle" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "EX:Electric_Vehicle" , "rdfs:subClassOf" , "EX:2_Wheeler" ,  ,  ,  ,
 "EX:Electric_Vehicle" , "rdfs:subClassOf" , "EX:3_Wheeler" ,  ,  ,  ,
 "EX:Electric_Vehicle" , "rdfs:subClassOf" , "EX:4_Wheeler" ,  ,  ,  ,
 "EX:Volkswagon" , "rdfs:subClassOf" , "EX:Vehicle_Brands" ,  ,  ,  ,
 "EX:4_Wheeler" , "rdfs:subClassOf" , "EX:Vehicle" ,  ,  ,  ,
 "rdfs:subClassOf" , "rdfs:domain" , "rdfs:Class" ,  ,  ,  ,
 "rdf:subject" , "rdfs:domain" , "rdf:Statement" ,  ,  ,  ,
 "rdf:predicate" , "rdfs:domain" , "rdf:Statement" ,  ,  ,  ,
 "rdf:object" , "rdfs:domain" , "rdf:Statement" ,  ,  ,  ,
 "rdf:first" , "rdfs:domain" , "rdf:List" ,  ,  ,  ,
 "rdf:rest" , "rdfs:domain" , "rdf:List" ,  ,  ,  ,
 "EX:alternateName" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:alternateSpelling" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:bodyStyleProduced" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:business" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:city" , "rdfs:domain" , "EX:Place" ,  ,  ,  ,
 "EX:country" , "rdfs:domain" , "EX:Place" ,  ,  ,  ,
 "EX:countryOfOrigin" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:currentFocusOn" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:firstName" , "rdfs:domain" , "foaf:Person" ,  ,  ,  ,
 "EX:foundedBy" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:fullName" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:headquarters" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:historicalInformation" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:incorporationDate" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:lastName" , "rdfs:domain" , "foaf:Person" ,  ,  ,  ,
 "EX:longestRunningSeriesOfModels" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:majorCompetitors" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:manufactures" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:market" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:modelName" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:parentCompany" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:prefecture" , "rdfs:domain" , "EX:Place" ,  ,  ,  ,
 "EX:productionOf" , "rdfs:domain" , "EX:Company" ,  ,  ,  ,
 "EX:sales" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:startYear" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:tillYear" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:unitsSold" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "EX:whereSold" , "rdfs:domain" , "EX:Vehicle" ,  ,  ,  ,
 "rdfs:subClassOf" , "rdfs:range" , "rdfs:Class" ,  ,  ,  ,
 "rdfs:domain" , "rdfs:range" , "rdfs:Class" ,  ,  ,  ,
 "rdfs:range" , "rdfs:range" , "rdfs:Class" ,  ,  ,  ,
 "rdf:rest" , "rdfs:range" , "rdf:List" ,  ,  ,  ,
 "rdfs:comment" , "rdfs:range" , "rdfs:Literal" ,  ,  ,  ,
 "rdfs:label" , "rdfs:range" , "rdfs:Literal" ,  ,  ,  ,
 "EX:alternateName" , "rdfs:range" , "foaf:name" ,  ,  ,  ,
 "EX:alternateSpelling" , "rdfs:range" , "foaf:name" ,  ,  ,  ,
 "EX:bodyStyleProduced" , "rdfs:range" , "EX:Car_Body_Style" ,  ,  ,  ,
 "EX:business" , "rdfs:range" , "EX:Business" ,  ,  ,  ,
 "EX:city" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:country" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:countryOfOrigin" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:currentFocusOn" , "rdfs:range" , "EX:Goal" ,  ,  ,  ,
 "EX:firstName" , "rdfs:range" , "foaf:firstName" ,  ,  ,  ,
 "EX:foundedBy" , "rdfs:range" , "foaf:Person" ,  ,  ,  ,
 "EX:fullName" , "rdfs:range" , "foaf:name" ,  ,  ,  ,
 "EX:headquarters" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:historicalInformation" , "rdfs:range" , "EX:Information" ,  ,  ,  ,
 "EX:incorporationDate" , "rdfs:range" , "xsd:date" ,  ,  ,  ,
 "EX:lastName" , "rdfs:range" , "foaf:lastName" ,  ,  ,  ,
 "EX:longestRunningSeriesOfModels" , "rdfs:range" , "EX:Vehicle" ,  ,  ,  ,
 "EX:majorCompetitors" , "rdfs:range" , "EX:Company" ,  ,  ,  ,
 "EX:manufactures" , "rdfs:range" , "EX:Vehicle" ,  ,  ,  ,
 "EX:market" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:modelName" , "rdfs:range" , "foaf:name" ,  ,  ,  ,
 "EX:parentCompany" , "rdfs:range" , "EX:Company" ,  ,  ,  ,
 "EX:prefecture" , "rdfs:range" , "EX:Place" ,  ,  ,  ,
 "EX:productionOf" , "rdfs:range" , "EX:Vehicle" ,  ,  ,  ,
